title,year,director,actor1,actor2,genre,rating,country,releasedate
The Jungle Book: Make-A-Wish,2016,Vitaliy Versace,Nevaeh Alkire,Lucy Anguilano,Animation,5.3,USA,23-Jun-17
To Get Her,2011,Erica Dunton,Jazzy De Lisser,Chelsea Logan,Drama,5.5,USA,21-Jan-11
A Simple Game of Catch,2012,Daniel Kremer,Alanna Blair,William McKeever,Drama,5.5,USA,2012
Thunderheart,1992,Michael Apted,Val Kilmer,Sam Shepard,Crime,6.8,USA,3-Apr-92
Backdoor to Hollywood 7,1989,None,Champagne,Rick Daniels,Adult,6,USA,NA
Malibu Hot Summer,1981,Richard Brander,Kevin Costner,Terry Congie,Comedy,2.5,USA,1981
Drug Runners,1988,Allan Kuskowski,Jimmy Stathis,Aldo Ray,Action,4.3,USA,10-Mar-88
Steel Panther: Live from Lexxi's Mom's Garage,2016,Frankie Nasso,Bobbie Brown,Brad LaFave,Comedy,9,USA,26-Feb-16
Robinson Crusoe,1997,George Miller,Pierce Brosnan,William Takaku,Adventure,5.9,USA,12-Jun-97
Henry O!,2009,None,Ziad H. Hamzeh,Enrique Oliu,Sport,8.6,USA,19-Feb-09
The Severed Arm,1973,Tom Alderman,Deborah Walley,Paul Carr,Horror,4.5,USA,1973
Lady in the Box,2001,Christian Otjen,Robert Glen Keith,Apesanahkwat,Mystery,6.1,USA,11-May-01
Garter Charter Tours,1986,Drea,Athena Star,Cyndee Summers,Adult,7.1,USA,NA
Save the Last Dance,2001,Thomas Carter,Julia Stiles,Sean Patrick Thomas,Drama,6.2,USA,12-Jan-01
Koreatown,2007,Michael Kallio,Tim Lovelace,Daz Crawford,Action,4.3,USA,30-Mar-12
Freeway II: Confessions of a Trickbaby,1999,Matthew Bright,Natasha Lyonne,MarÃ­a Celedonio,Comedy,5.6,USA,24-Nov-00
Mr. No Legs,1978,Ricou Browning,Richard Jaeckel,Ron Slinker,Action,5.1,USA,14-Mar-79
Red Eye,2005,Wes Craven,Rachel McAdams,Cillian Murphy,Mystery,6.5,USA,19-Aug-05
Southbounders,2005,Ben Wagner,Amy Cale Peterson,Scott Speiser,Drama,6.5,USA,22-Jun-05
Dirty Work,2016,Stuart Smith,Devon Doyle,Devin Schmidt,Crime,6.9,USA,11-Nov-16
Ninjas vs. Zombies,2008,Justin Timpane,Daniel Ross,Cory Okouchi,Action,2.9,USA,31-Oct-08
Hall of Mirrors,2001,Brad Osborne,Eric Vale,Julie Arebalo,Crime,7.5,USA,31-Jan-01
Hello Earthlings!,2004,Elizabeth Withstandley,Peter Haig,Irene Kessler,Sci-Fi,6,USA,NA
The Dead the Damned and the Darkness,2014,Rene Perez,Robert Tweten,Iren Levy,Action,3,USA,7-Oct-14
Project: Threshold,2009,Paul Dupree,Benjy Benefield,Gary Brumett,Drama,3.7,USA,26-Jul-09
Wild Riders,1971,Richard Kanter,Alex Rocco,Elizabeth Knowles,Crime,4.9,USA,21-Apr-72
Uncommon,2015,Bill Rahn,Erik Estrada,Ben Davies,Drama,6.6,USA,1-Sep-15
12 to the Moon,1960,David Bradley,Ken Clark,Michi Kobi,Sci-Fi,2.8,USA,Jun-60
The Ideal,2011,Wes Tomasz Ciesla,Dennis Brito,Kristen Brancaccio,Fantasy,2.4,USA,NA
Last Day on Earth,2012,Uri Niv,Blake Baskin,Christina Corigliano,Sci-Fi,4.9,USA,NA
Blood Angel,2012,None,Robin Collins,Nick Reed,Action,7,USA,30-Aug-12
Oz the Great and Powerful,2013,Sam Raimi,James Franco,Michelle Williams,Adventure,6.3,USA,8-Mar-13
Lilin's Brood,2016,Artii Smith,Martin Sensmeier,Maxine Goynes,Thriller,5.1,USA,5-Feb-16
Never Been Thawed,2005,None,Greg Behrendt,Kent Voss,Comedy,6.1,USA,15-Apr-05
Emulation,2010,None,Steven Chiado,Christian M. Condrick,Action,3.4,USA,NA
CB4,1993,Tamra Davis,Chris Rock,Allen Payne,Comedy,6.2,USA,12-Mar-93
Sakenara,2004,None,Cindy Hung,Clara Bercaru,Comedy,8.9,USA,2004
Solitary,2009,Greg Derochie,Amber Jaeger,Andrew Johnson,Mystery,5.3,USA,NA
When the Bough Breaks,2016,Jon Cassar,Morris Chestnut,Regina Hall,Crime,4.9,USA,9-Sep-16
The Maze,1997,JoÃ«lle Bentolila,Giancarlo Esposito,Pamela Gidley,Drama,5.8,USA,NA
The Dream-Quest of Unknown Kadath,2003,Edward Martin III,Toren Atkinson,Raymond Beckett,Adventure,5.6,USA,11-Oct-03
How to Murder Your Wife,1965,Richard Quine,Jack Lemmon,Virna Lisi,Comedy,6.6,USA,26-Jan-65
A Chorus Line,1985,Richard Attenborough,Michael Douglas,Terrence Mann,Drama,6.1,USA,20-Dec-85
Devil's Mile,2014,Joseph O'Brien,David Hayter,Maria del Mar,Action,3.7,USA,12-Aug-14
Blue Jasmine,2013,Woody Allen,Cate Blanchett,Alec Baldwin,Drama,7.3,USA,23-Aug-13
Scream of the Bikini,2009,Kiff Scholl,Kelsey Wedeen,Rebecca Larsen,Comedy,7.3,USA,8-Oct-09
In the Heat of Passion,1992,Rodman Flender,Sally Kirkland,Andre Rosey Brown,Thriller,5.5,USA,24-Jan-92
The Uninvited,2008,Bob Badway,Marguerite Moreau,Brittany Curran,Horror,4.1,USA,2008
Salt Water,2016,Stephen Coombs,Zarah Mahler,Dustin Ingram,Drama,5.1,USA,2016
Black Easter,1994,Bruce G. Hallenbeck,Veronica Carlson,Jeff Kirkendall,Horror,6.5,USA,NA
Werewolf Bitches from Outer Space,2016,Nick Zedd,Janeane Garofalo,Lloyd Kaufman,Comedy,2.8,USA,2016
Far Harbor,1996,John Huddles,Edward Atterton,Jennifer Connelly,Drama,5,USA,22-Nov-96
The Sand,2015,Isaac Gabaeff,Brooke Butler,Cleo Berry,Horror,3.8,USA,13-Oct-15
Slumberland,2006,None,Raymond J. Barry,Jarek Kupsc,Drama,8.6,USA,11-Sep-06
Dungeons & Dragons,2000,Courtney Solomon,Justin Whalin,Jeremy Irons,Action,3.7,USA,8-Dec-00
The Eden Myth,1999,None,Rebecca Boyd,Julia Dion,Drama,6.9,USA,13-Jun-99
The House on the Wrong Side of the Tracks,2013,Arthur Leo Collins,Brittiani McNeil Ketcham,Jenn Kaelber,Horror,4.8,USA,11-Oct-13
Lethal Justice,1991,Christopher Reynolds,Larry Williams,Jodi Russell,Crime,5.8,USA,NA
Seven Days of Grace,2006,Don E. FauntLeRoy,Stephanie Beacham,Ria Coyne,Comedy,4.1,USA,1-Apr-06
Method to Madness,2004,Jason McKenney,Adrian Almaraz,Scott Hart,Thriller,6.4,USA,10-Mar-04
The Mysteries of Pittsburgh,2008,Rawson Marshall Thurber,Jon Foster,Peter Sarsgaard,Adventure,5.4,USA,20-Jan-08
Wedding Wonderland,2017,Jake Helgren,Andrea Bowen,Nick Bateman,Romance,5.2,USA,25-Dec-17
Dead Space,1991,Fred Gallo,Marc Singer,Laura Mae Tate,Horror,3.3,USA,21-Jan-91
Breathing Fire,1991,Brandon De-Wilde,Jonathan Ke Quan,Eddie Saavedra,Action,5.5,USA,15-Jul-92
Beneath the Mississippi,2008,Lonnie Schuyler,Tim Anderson,Jon Hazell,Horror,2.5,USA,2008
The Fence,1994,Peter Pistor,Freddy RodrÃ­guez,Stacy Logan,Action,4.3,USA,NA
Jug Band Hokum,2015,Jack Norton,Jillian Paige,Joseph Lymous,Comedy,7.9,USA,25-Apr-15
Elephant Sighs,2012,Ed Simpson,Edward Asner,John Cariani,Comedy,5.6,USA,12-Jun-12
Life Fine Tuned,2011,Nina May,Joshua Blake,Scott Clark,Drama,6.1,USA,2012
Joshua Tree,2011,Kris Kardash,Emilio Roso,Michael Madsen,Action,5.4,USA,Feb-11
Under New Management,2009,Joe Otting,Chris Diamantopoulos,Kelly Overton,Comedy,6,USA,Dec-10
One Way Wahine,1965,William O. Brown,Joy Harmon,Anthony Eisley,Comedy,4.7,USA,Sep-65
The Alumni Chapter,2011,None,Sean Warner,Scott Javore,Comedy,6.3,USA,19-Feb-11
The Virgin Rape,1971,None,Buddy Boone,Keith Erickson,Adult,4.4,USA,1971
In the King of Prussia,1983,Emile de Antonio,John Randolph Jones,Susan Lynch,Drama,6.8,USA,13-Feb-83
Lost in Plainview,2005,Eric Chambers,Layla Alexander,Marquita Terry,Action,4.2,USA,15-Aug-06
Akuma no niwa,1967,Norman Earl Thomson,Al Ricketts,Edward M. Shannon,Horror,2.7,USA,1967
Calico Skies,2016,Valerio Esposito,Tom Sizemore,Christina Bennett Lind,Drama,5.7,USA,Nov-16
Clownhouse,1989,Victor Salva,Nathan Forrest Winters,Brian McHugh,Horror,5.8,USA,1-Jun-89
Anton Chekhov's The Duel,2010,Dover Koshashvili,Andrew Scott,Fiona Glascott,Drama,6.9,USA,28-Apr-10
Stuck,2002,Lindsay Bourne,JR Bourne,Fred Henderson,Drama,7.2,USA,10-Jan-02
Red Planet,2000,Antony Hoffman,Val Kilmer,Carrie-Anne Moss,Action,5.7,USA,10-Nov-00
Rush Hour 3,2007,Brett Ratner,Jackie Chan,Chris Tucker,Action,6.2,USA,10-Aug-07
The Many Strange Stories of Triangle Woman,2008,Chris Rentzel,Tze Yep,Carmela Lamberti,Comedy,3.8,USA,2008
Ping Pong Playa,2007,Jessica Yu,Andrew Vo,Khary Payton,Comedy,6,USA,5-Sep-08
Needful Things,1993,Fraser C. Heston,Max von Sydow,Ed Harris,Crime,6.2,USA,27-Aug-93
Zombie Atrocity: The Italian Zombie Movie - Part 2,2010,None,Jeffrey S. Bromley,Laurie Beckeman,Horror,7.1,USA,30-Jul-10
No Manches Frida,2016,Nacho G. Velilla,Omar Chaparro,Martha Higareda,Comedy,5.7,USA,2-Sep-16
Platinum Blonde,2001,Cybil Richards,Holly Sampson,Shannan Leigh,Fantasy,5.1,USA,5-Mar-08
G,2002,Christopher Scott Cherot,Richard T. Jones,Blair Underwood,Drama,5,USA,28-Oct-05
Consumption,2010,D.C. Osman,Chester See,Mandy Van Duyne,Action,7.6,USA,2010
Issues,2005,Van Elder,Ben Watkins,Laz Alonso,Comedy,6.7,USA,Sep-05
How Sweet It Is!,1968,Jerry Paris,James Garner,Debbie Reynolds,Comedy,6,USA,25-Sep-68
Half Past Dead,2002,Don Michael Paul,Morris Chestnut,Steven Seagal,Action,4.6,USA,15-Nov-02
The Sleeper,2005,Drew Maxwell,Lucian McAfee,Cotter Smith,Sci-Fi,7,USA,1-May-05
A Reflection of Fear,1972,William A. Fraker,Robert Shaw,Sally Kellerman,Crime,6.3,USA,11-May-73
Project: User,2014,Miles Levin,Austin Bellach,Jenifer CotÃ©,Drama,7.9,USA,26-Jul-14
Denounced,2012,Joseph Petito,Gilbrando Acevedo,Chris Lazzaro,Crime,6.8,USA,NA
Flesh Pond,1983,Carlos Tobalina,Shaun Michelle,Crystal Hart,Adult,3.9,USA,NA
The Catcher,1998,Yvette Hoffman,David Heavener,Monique Parent,Horror,3.1,USA,1998
Anomalisa,2015,Duke Johnson,David Thewlis,Jennifer Jason Leigh,Animation,7.2,USA,21-Jan-16
Shakespeare-Wallah,1965,James Ivory,Shashi Kapoor,Felicity Kendal,Drama,6.9,USA,Dec-65
Project: Kill,1976,William Girdler,Leslie Nielsen,Gary Lockwood,Action,3.9,USA,Oct-76
Making Ends Meet,1988,Henri Pachard,Shanna McCullough,Alicia Monet,Adult,5.6,USA,NA
The Curse,1999,Jacqueline Garry,Amy Laughlin,Sara Elena Knight,Comedy,6.5,USA,NA
Star!,1968,Robert Wise,Julie Andrews,Richard Crenna,Biography,6.6,USA,22-Oct-68
Less Than 30,2016,John Lerchen,Domenica Cameron-Scorsese,Tommy Beardmore,Comedy,8.3,USA,NA
Slash 3,2015,None,Jack Stanis,Kylah Honkala,Drama,7.5,USA,24-Jul-15
Sailor in the Wild,1983,William Higgins,Buster,Cory Adams,Adult,8.6,USA,NA
Perfect Thoughts,2012,Doron Max Hagay,Andrea Finlayson,Jane Finlayson,Comedy,7.2,USA,NA
Outlander,2008,Howard McCain,Jim Caviezel,Sophia Myles,Action,6.3,USA,11-Jul-08
Solar Flare,2008,Fred Olen Ray,Michelle Clunie,Tracey Gold,Action,2.4,USA,6-Jun-08
Capone,1975,Steve Carver,Ben Gazzara,Susan Blakely,Biography,5.7,USA,16-Apr-75
Albion: The Enchanted Stallion,2016,Castille Landon,Avery Arendes,Stephen Dorff,Adventure,5.3,USA,4-Apr-17
Stone Cold,1991,Craig R. Baxley,Brian Bosworth,Lance Henriksen,Action,5.9,USA,17-May-91
The Night of the Cat,1973,Jim Cinque,Kathy Allen,George Oakley,Thriller,4,USA,1973
Rad,1986,Hal Needham,Bart Conner,Lori Loughlin,Drama,7.2,USA,28-Mar-86
The Keeper,1995,Joe Brewster,Giancarlo Esposito,Regina Taylor,Crime,6.1,USA,5-Sep-97
How I Became a Nudist,1968,Larry Wolk,Morganna,Harry W. Stinger,Comedy,8,USA,12-Nov-68
A Father's Worth,2007,None,Oto Brezina,Jeff Cooper,Drama,8.2,USA,25-Mar-07
Business as Usual,1978,Richard Mailer,Herschel Savage,Michael Gaunt,Adult,5.6,USA,1978
Beneath Loch Ness,2001,None,Patrick Bergin,Lysette Anthony,Action,3.2,USA,6-Jul-01
Valley Inn,2014,Chris Spencer,Joey Lauren Adams,David Lansbury,Comedy,7.2,USA,4-Apr-14
Palace Living,2013,Zack Ordynans,Tom Roy,Rebecca Kush,Comedy,8.4,USA,1-Jan-15
Mrs. Death,1999,Jack Williams,Don Bradley,Jackson Meyers,Horror,6,USA,28-Dec-99
A Couple of Days and Nights,2005,Vaughn Verdi,Shonda Farr,David Scott Lago,Comedy,8.3,USA,22-Oct-05
Preppies,1984,Chuck Vincent,Dennis Drake,Steven Holt,Comedy,4,USA,Apr-84
Single in South Beach,2015,Hunter Carson,Haley Webb,Tinsel Korey,Comedy,6.3,USA,13-Apr-15
Deimosimine,2017,Chad Armstrong,Jim O'Rear,Richard Chandler,Horror,7,USA,30-Aug-17
Silent Shame,2009,Juan Frausto,Javier Berrios,David Blancas,Drama,7.2,USA,Apr-09
The Wild Angels,1966,Roger Corman,Peter Fonda,Nancy Sinatra,Action,5.7,USA,20-Jul-66
November Criminals,2017,Sacha Gervasi,ChloÃ« Grace Moretz,Ansel Elgort,Crime,5.2,USA,7-Nov-17
Requiem for a Dream,2000,Darren Aronofsky,Ellen Burstyn,Jared Leto,Drama,8.3,USA,15-Dec-00
"Sweet Jesus, Preacherman",1973,Henning Schellerup,Roger E. Mosley,William Smith,Action,5.1,USA,25-May-73
Last Man Running,2003,Damon Santostefano,Sheree Ali,Frank Coraci,Drama,8.2,USA,13-Jun-03
The Unknown Cyclist,1998,Bernard Salzmann,Lea Thompson,Vincent Spano,Drama,5.9,USA,10-Oct-98
The Wereth Eleven,2011,Robert Child,Hillary Styer,Ken Arnold,Action,6.2,USA,16-Feb-11
The Black Alley Cats,1973,Henning Schellerup,Sunshine Woods,Sandy Dempsey,Action,5.9,USA,Sep-73
Air Patrol,1962,Maury Dexter,Russ Bender,Douglass Dumbrille,Crime,5.3,USA,17-Jul-62
Dark Hearts,2014,Neal Edelstein,Jasmine Berg,Jenna Berman,Horror,7.8,USA,20-Nov-14
Bloodborn,2008,Phil Messerer,Devon Dionne,Eilis Cahill,Fantasy,6.6,USA,11-Nov-14
Getting That Girl,2011,Nathanael Coffman,Escher Holloway,Gia Mantegna,Comedy,5,USA,23-Oct-11
Aliens,1986,James Cameron,Sigourney Weaver,Michael Biehn,Action,8.4,USA,18-Jul-86
Off the Rails,2017,David Jackson,Hannah Barefoot,Thomas Beaudoin,Drama,5.6,USA,18-Aug-17
Circuit,2001,Dirk Shafer,Jonathan Wade-Drahos,Andre Khabbazi,Drama,5.2,USA,8-May-02
Mutilations,1986,Larry Thomas,Al Baker,John Bliss,Horror,5.6,USA,NA
Amanda & Jack Go Glamping,2017,Brandon Dickerson,Amy Acker,David Arquette,Comedy,5,USA,29-Oct-17
Blue Ruin,2013,Jeremy Saulnier,Macon Blair,Devin Ratray,Crime,7.1,USA,9-Jul-14
Turnabout,2016,E.B. Hughes,George Katt,Waylon Payne,Drama,7.2,USA,2016
The Last House on the Left,1972,Wes Craven,Sandra Peabody,Lucy Grantham,Horror,6,USA,30-Aug-72
Live Nude Girls,2014,Jay Leggett,Mike Hatton,Dave Foley,Comedy,4,USA,19-Aug-14
Dusty and Sweets McGee,1971,Floyd Mutrux,Clifton Tip Fredell,Kit Ryder,Crime,7.1,USA,14-Jul-71
Bella,1980,Alexander Kubelka,Eric Edwards,Jake Teague,Adult,6,USA,1980
Bartypes: A Stereotypical Comedy,2002,Tony DeVries,Charles Schefer,Troy Lee Sargent,Comedy,8.2,USA,27-Apr-02
The Dooms Chapel Horror,2016,John William Holt,Bill Oberst Jr.,Austin Madding,Horror,3.7,USA,14-Jun-16
The Touchstone,2012,Robert Remy,Christian Gehring,Bryan Gabriel Lamorena,Comedy,6.7,USA,NA
The Crimson Wing: Mystery of the Flamingos,2008,Leander Ward,Zabou Breitman,Mariella Frostrup,Documentary,7.3,USA,25-Sep-09
The Ghostmaker,2012,Mauro Borrelli,Aaron Dean Eisenberg,Liz Fenning,Horror,4.9,USA,29-Nov-12
Cry of the Butterfly,2014,Mihailo Stanich,Nina Serbedzija,John Savage,Drama,6.2,USA,19-Jul-14
Most Dangerous Man Alive,1961,Allan Dwan,Ron Randell,Debra Paget,Sci-Fi,5.5,USA,16-Nov-61
The Benchwarmers,2006,Dennis Dugan,David Spade,Jon Heder,Action,5.6,USA,7-Apr-06
Pink Zone,2014,Benjamin J. Walter,Jayna Sweet,Matt Cooper,Drama,6.7,USA,19-Jul-16
Scissors,1991,Frank De Felitta,Sharon Stone,Steve Railsback,Horror,5.2,USA,22-Mar-91
Unremembered,2009,Greg Kerr,Tim Delaney,Karla Mason,Mystery,6.8,USA,13-May-09
Conquest of the Planet of the Apes,1972,J. Lee Thompson,Roddy McDowall,Don Murray,Action,6.1,USA,30-Jun-72
Antitrust,2001,Peter Howitt,Ryan Phillippe,Tim Robbins,Action,6.1,USA,12-Jan-01
Confessions 1,1992,None,Saki St. Jermaine,Jerry Butler,Adult,7.2,USA,NA
The Destructors,1968,Francis D. Lyon,Richard Egan,Patricia Owens,Sci-Fi,4.9,USA,Jan-68
Screw Cupid,2008,Sanjeev Sirpal,Mircea Monroe,Christopher Boyd,Comedy,3.4,USA,2008
Wave Twisters,2001,Eric Henry,DJ Q-Bert,D-Styles,Adventure,7.3,USA,23-Jan-01
Asphalt Angels,2014,Christopher Krueger,Justine Renee,John C. Epperson,Action,4.4,USA,2014
The Barn,2016,Justin M. Seaman,Nikki Howell,Nickolaus Joshua,Horror,6,USA,2016
Life Room,2009,Eric Ray,Kristan Jakubczyk,Jimmy Flowers,Horror,2.9,USA,2009
Dog Gone Love,2004,Rob Lundsgaard,Alexander Chaplin,Jordan Ladd,Comedy,5.1,USA,21-Sep-04
Summer of '42,1971,Robert Mulligan,Jennifer O'Neill,Gary Grimes,Comedy,7.3,USA,26-Apr-71
County Line,2017,Shea Sizemore,Tom Wopat,Jeff Fahey,Action,8.4,USA,16-Jun-17
Alyce Kills,2011,Jay Lee,Jade Dornfeld,Amara Zaragoza,Horror,5.5,USA,24-May-13
Sister Mary's Angel,2011,Mary Knight,Alix Angelis,Kris Angelis,Comedy,7.7,USA,1-Feb-14
The Deep and Dreamless Sleep,2006,Matthew Harrison,Tami Reynolds,Kris Park,Drama,7.5,USA,23-Jun-06
Much Ado,2003,Kipley Wentz,Jefferson Arca,Heather Ayers,Comedy,6.9,USA,21-Aug-03
The Goodbye People,1984,Herb Gardner,Judd Hirsch,Martin Balsam,Comedy,6,USA,31-Jan-86
The Odd Way Home,2013,Rajeev Nirmalakhandan,Veronica Cartwright,Rumer Willis,Drama,6.9,USA,25-Oct-13
How to Steal a Million,1966,William Wyler,Audrey Hepburn,Peter O'Toole,Comedy,7.6,USA,19-Aug-66
Pershing's Last Patriot,2013,None,David Dejonge,Richard Thomas,Biography,8.9,USA,NA
The Omegans,1968,W. Lee Wilder,Keith Larsen,Ingrid Pitt,Romance,3.5,USA,18-Feb-77
Real Stories of the Donut Men,1997,Beeaje Quick,Corbin Timbrook,Anna Bocci,Comedy,6.5,USA,25-Oct-97
Mummies: Secrets of the Pharaohs,2007,Keith Melton,William Hope,Nasser Memarzia,Biography,6.6,USA,25-May-07
Runners,2001,Carlo Gustaff,Theo Nicholas Pagones,Jesse Bob Harper,Drama,7.9,USA,29-Jul-01
The Waterboy,1998,Frank Coraci,Adam Sandler,Kathy Bates,Comedy,6.1,USA,6-Nov-98
Clown,2007,Robert Newman,Breeun Johnson,Brant Leslie,Horror,6.6,USA,9-Jun-07
Paranoia,2012,Bivas Biswas,Katherine Stewart,Shane Dean,Thriller,5.5,USA,30-Mar-12
Ravenwood,2012,Emmanuel Icaza,Rex Adams,Kate Alloway,Horror,5.6,USA,31-Oct-12
Way of the Vampire,2005,Eduardo DurÃ£o,Rhett Giles,Andreas Beckett,Action,1.9,USA,22-Feb-05
Beavis and Butt-Head Do America,1996,Yvette Kaplan,Mike Judge,Bruce Willis,Adventure,6.8,USA,20-Dec-96
Reservoir Dogs,1992,Quentin Tarantino,Harvey Keitel,Tim Roth,Crime,8.3,USA,2-Sep-92
Crossing Point,2016,Daniel Zirilli,Shawn Lock,Paulina Gaitan,Action,5,USA,3-May-16
Way Down in Chinatown,2014,None,Stephanie Sanditz,Justin Dray,Comedy,6.9,USA,1-Sep-14
Brigham,1977,Tom McGowan,Faith Clift,Howard Culver,Biography,5.1,USA,22-Nov-77
Call Center,2008,Adam Dyess,Mollie Anderson,Sean Colony,Comedy,4.7,USA,6-Feb-08
Squirrel Nut Zippers: Musical Candy,1996,None,James Mathus,Chris Phillips,Documentary,8.5,USA,4-Jun-96
Nightwing,1979,Arthur Hiller,Nick Mancuso,David Warner,Horror,4.7,USA,22-Jun-79
The Talent Given Us,2004,Andrew Wagner,Allen Wagner,Judy Wagner,Comedy,5.3,USA,11-Jun-04
Vamps,2010,None,Brittany Bentley,Vanessa Gomez,Comedy,5.1,USA,27-Oct-10
House of Dark Shadows,1970,Dan Curtis,Jonathan Frid,Grayson Hall,Drama,6.5,USA,6-Mar-71
The Passing Season,2016,Gabriel Long,Gayle Rankin,Brian J. Smith,Drama,7.1,USA,10-Aug-16
The Bod Squad,1989,Jim Enright,Britt Morgan,Peter North,Adult,6.5,USA,NA
Exsanguination,2011,None,Mark T. Lee,Shane Land,Comedy,5.8,USA,17-Feb-11
Magenta,1997,None,Julian McMahon,Alison Storry,Drama,5.2,USA,Jul-97
The Devil's Triangle,1974,Richard Winer,Vincent Price,Robert Deacon,Documentary,6,USA,23-Oct-74
Zoe Gone,2014,Conor Allyn,Sammi Hanratty,Alexandra Holden,Crime,5.6,USA,29-Mar-14
9 Lives of a Wet Pussy,1976,Abel Ferrara,Pauline LaMonde,Dominique Santos,Adult,4,USA,20-Aug-76
L.I.N.X.,2000,Bryan Bagby,Regan Gurr,Adam Joseph,Sci-Fi,5.9,USA,NA
Baby Geniuses,1999,Bob Clark,Kathleen Turner,Christopher Lloyd,Comedy,2.6,USA,12-Mar-99
The Hand,1981,Oliver Stone,Michael Caine,Andrea Marcovicci,Drama,5.4,USA,24-Apr-81
Stormy Nights,1996,Alberto Vidaurri,Shannon Tweed,Brett Baxter Clark,Drama,4.3,USA,NA
Darkening Sky,2010,Victor Bornia,Rider Strong,Danielle Keaton,Horror,4.5,USA,NA
Superbadazz,2008,Z. Winston Brown,Andrew Hannibal,Jackie Stevens,Comedy,2.1,USA,29-Jul-08
For Ellen,2012,So Yong Kim,Paul Dano,Margarita Levieva,Drama,6,USA,19-Sep-12
Torment,1986,John Hopkins,Taylor Gilbert,William Witt,Crime,3.4,USA,Apr-86
Walking the Edge,1985,Norbert Meisel,Nancy Kwan,Robert Forster,Action,5.5,USA,11-Jan-85
Unflinching Triumph: The Philip Rockhammer Story,2007,Mark Decena,Dave Dyson,Robert Lambrechts,Comedy,7.9,USA,2-Jun-07
Harold & Kumar Go to White Castle,2004,Danny Leiner,John Cho,Kal Penn,Adventure,7.1,USA,30-Jul-04
The Ultimate Life,2013,Michael Landon Jr.,Logan Bartholomew,Peter Fonda,Drama,6,USA,6-Sep-13
Get the Terrorists,1987,Eddie Rodriguez,Gerald Fox,Robert Marius,Action,6,USA,Dec-87
A Serious Man,2009,Joel Coen,Michael Stuhlbarg,Richard Kind,Comedy,7,USA,6-Nov-09
Where One Stands,2007,None,Elizabeth Elise Gonzalez,Christopher Jones,Action,2.6,USA,27-Jul-07
Santa's Boot Camp,2016,Ken Feinberg,Eric Roberts,Storm Reid,Adventure,4.4,USA,15-Nov-16
The Nether Experiment,2014,None,Israel Adam,Selah Armstrachan,Action,5.5,USA,28-Nov-14
Letters of Love,1985,Paul Vatelli,Cyndee Summers,Craig Roberts,Adult,6.3,USA,15-May-07
Unmasking the Idol,1986,Worth Keeter,Ian Hunter,C.K. Bibby,Action,4.9,USA,7-May-87
Odyssey: The Ultimate Trip,1977,Gerard Damiano,Robert Kerman,Nancy Dare,Adult,6.6,USA,20-Oct-80
Soldier of God,2005,W.D. Hogan,Tim Abell,Bill Mendieta,Drama,4.7,USA,28-Oct-05
Inventors and Vendors,2010,None,Austin Tindle,Bayli Ryan,Comedy,8.8,USA,2011
How to Become an Action Star in Ten Weeks (The True Story of How I Found Love),2009,Michael C. Thomas,Stephanie Drapeau,Rachael Jane,Documentary,7,USA,1-Jun-09
Blood Street,1988,George Chung,Kymberly Paige,Patty Georgeson,Action,5.7,USA,19-Jun-90
What Matters Most,2009,Jayson Simba,Nick Arens,Rahad Coulter-Stevenson,Drama,7.1,USA,3-Jan-09
My Boo,2013,Erica D. Hayes,Eboni Deberry,Ashlee Marie McLemore,Horror,3.9,USA,1-Apr-13
Kill the Messenger,2014,Michael Cuesta,Jeremy Renner,Robert Patrick,Biography,7,USA,9-Oct-14
Ricky,2010,Kevin Wagoner,Matt Markey,Sabrina Bolin,Comedy,7.9,USA,NA
Unholy Matrimony,1966,Arthur John,Barbara Kemp,Sharon Kent,Comedy,5.7,USA,28-Dec-66
Sand Castles,2014,None,Jordon Hodges,Anne Winters,Crime,7,USA,16-Feb-16
Dirty Laundry,1988,Anthony Spinelli,Steve Nolte,Denise Connors,Adult,3.6,USA,1990
Lucid,2013,None,Brittney Saylor,Bill Johnson,Drama,5.6,USA,24-Jun-13
Send Me No Flowers,1964,Norman Jewison,Rock Hudson,Doris Day,Comedy,7,USA,14-Oct-64
Captive Audience,1999,Kurt St. Thomas,Mike Gioscia,Kat Corbett,Drama,6.7,USA,1999
The Monster's Mind,2006,Brett Hatten,Michael Allbright,Daniel Britt,Mystery,7.6,USA,8-Sep-06
Pants on Fire,2008,Colin Campbell,Lee Kirk,Joseph Sikora,Comedy,6.9,USA,2008
Top Gun,1986,Tony Scott,Tom Cruise,Tim Robbins,Action,6.9,USA,16-May-86
Your Cheatin' Heart,1964,Gene Nelson,Shary Marshall,George Hamilton,Biography,6.6,USA,Dec-64
A Happening of Monumental Proportions,2017,Judy Greer,Allison Janney,Jennifer Garner,Comedy,6.3,USA,5-May-17
False Identity,1990,James Keach,Stacy Keach,GeneviÃ¨ve Bujold,Crime,5.9,USA,8-Jun-90
American Guinea Pig: Bouquet of Guts and Gore,2014,Stephen Biro,Scott Gabbey,Lucio Giovannelli,Horror,4.5,USA,24-Oct-14
That Boy,1974,None,Peter Berlin,Arron Black,Adult,7.1,USA,NA
Night of the Living Dead,1968,George A. Romero,Keith Wayne,Judith Ridley,Horror,7.9,USA,4-Oct-68
My Father's Daughter,2002,None,Tim Shane,Parul Bhatia,Drama,8.6,USA,20-Sep-02
